session;treatment;period;phase;profit;subject;q;qi_min;Subject;client;Geschlecht;Alter;Trust_1;Trust_2;LM_1;LM_2;LM_3;LM_4;LM_5;LM_6;LM_7;LM_8;LM_9;LM_10;MM_1;MM_2;MM_3;MM_4;MM_5;MM_6;Studiengang;#N;#E;#T
S01;weakR;5;2;197.82;7;43;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;241.5;8;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;309;9;40;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;314.82;10;37;35;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;159;11;90;70;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;287;12;50;45;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;249;13;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;242.5;14;25;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;254.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;154.5;16;65;65;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;185;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;174.5;2;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;174.5;3;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;174.5;4;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;209.32;5;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;201;6;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;187;7;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;206.5;8;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;177;9;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;214.5;10;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;225;11;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;195;12;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;224.5;13;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;224.5;14;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;224.5;15;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;3;165;16;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;194;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;189.5;2;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;189.5;3;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;184;4;20;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;284.5;5;15;12;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;279;6;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;265;7;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;97;8;90;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;222;9;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;254;10;20;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;240;11;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;222;12;40;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;229.5;13;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;224;14;20;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;229.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;3;170;16;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;201.5;1;15;10;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;199.42;2;17;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;196;3;20;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;196;4;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;294;5;20;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;294;6;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;262;7;40;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;112;8;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;257;9;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;275;10;30;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;246.5;11;45;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;235;12;50;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;229;13;20;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;229;14;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;234.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;3;175;16;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;201.5;1;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;199.42;2;17;17;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;196;3;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;196;4;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;272;5;50;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;326;6;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;289.92;7;42;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;144;8;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;258.5;9;45;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;283.72;10;32;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;247;11;50;45;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;247;12;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;235;13;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;228.5;14;25;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;240.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;3;178.58;16;51;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;201.5;1;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;199.42;2;17;17;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;196;3;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;196;4;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;272;5;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
